"","X","Date","Open","High","Low","Close","Volume","day"
"221",221,"05/02/1988",261.3298,263.7,248.85,262.1599,0,1988-05-02
"222",222,"06/01/1988",262.1599,276.8799,262.0999,273.5,0,1988-06-01
"223",223,"07/01/1988",273.5,276.3599,262.48,272.0198,0,1988-07-01
"224",224,"08/01/1988",272.0198,274.2,256.5298,261.5198,0,1988-08-01
"225",225,"09/01/1988",261.5198,274.8699,256.98,271.9099,0,1988-09-01
"226",226,"10/03/1988",271.9099,283.95,268.8398,278.97,0,1988-10-03
"227",227,"11/01/1988",278.97,280.3699,262.8499,273.7,0,1988-11-01
"228",228,"12/01/1988",273.7,280.45,270.47,277.72,0,1988-12-01
"229",229,"01/03/1989",277.72,297.5098,273.8098,297.47,0,1989-01-03
"230",230,"02/01/1989",297.47,300.5698,286.2598,288.8599,0,1989-02-01
"231",231,"03/01/1989",288.8599,299.99,286.46,294.8699,0,1989-03-01
"232",232,"04/03/1989",294.8699,310.45,294.3499,309.6399,0,1989-04-03
"233",233,"05/01/1989",309.6399,323.0598,304.0598,320.5198,0,1989-05-01
"234",234,"06/01/1989",320.5198,329.1899,314.3799,317.98,0,1989-06-01
"235",235,"07/03/1989",317.98,346.0798,317.2598,346.0798,0,1989-07-03
"236",236,"08/01/1989",346.0798,352.73,339,351.45,0,1989-08-01
"237",237,"09/01/1989",351.45,354.1299,341.3699,349.1499,0,1989-09-01
"238",238,"10/02/1989",349.1499,360.4399,327.1199,340.3599,0,1989-10-02
"239",239,"11/01/1989",340.3599,346.5,330.9099,345.99,0,1989-11-01
"240",240,"12/01/1989",345.99,354.0999,339.6299,353.3999,0,1989-12-01
"241",241,"01/02/1990",353.3999,360.5898,319.8298,329.0798,0,1990-01-02
"242",242,"02/01/1990",329.0798,336.0898,322.0999,331.8899,0,1990-02-01
"243",243,"03/01/1990",331.8899,344.49,331.0798,339.9399,0,1990-03-01
"244",244,"04/02/1990",339.9399,347.2998,327.7598,330.7998,0,1990-04-02
"245",245,"05/01/1990",330.7998,362.2598,330.7998,361.23,0,1990-05-01
"246",246,"06/01/1990",361.23,368.7798,351.23,358.0198,0,1990-06-01
"247",247,"07/02/1990",358.0198,369.7798,350.0898,356.1499,0,1990-07-02
"248",248,"08/01/1990",356.1499,357.3499,306.1799,322.5598,0,1990-08-01
"249",249,"09/04/1990",322.5598,326.5298,295.98,306.0498,0,1990-09-04
"250",250,"10/01/1990",306.0498,319.6899,294.5098,304,0,1990-10-01
"251",251,"11/01/1990",304,323.0198,301.6099,322.22,0,1990-11-01
"252",252,"12/03/1990",322.22,333.98,321.97,330.22,0,1990-12-03
"253",253,"01/02/1991",330.22,343.9299,309.3499,343.9299,0,1991-01-02
"254",254,"02/01/1991",343.9299,370.96,340.3699,367.0698,0,1991-02-01
